amcl_Timestamp,amcl_X,amcl_Y,Odom_Timestamp,Odom_X,Odom_Y
135.286,0.026814525876412885,-0.00714352983873224,138.023,0.00026476284287746876,4.3460736897839844e-09
135.286,0.026814525876412885,-0.00714352983873224,138.123,0.00027397494826900945,4.620857005307102e-09
135.286,0.026814525876412885,-0.00714352983873224,138.223,0.00026765734684254533,-2.1582782401927815e-10
135.286,0.026814525876412885,-0.00714352983873224,138.323,0.00025204913332254307,-4.292994507849073e-08
135.286,0.026814525876412885,-0.00714352983873224,138.423,0.0002480272421222312,-7.49726304291656e-08
135.286,0.026814525876412885,-0.00714352983873224,138.523,0.0002474445750254141,-8.911246776585606e-08
135.286,0.026814525876412885,-0.00714352983873224,138.623,0.0002465923380310339,-1.2523516805364863e-07
135.286,0.026814525876412885,-0.00714352983873224,138.723,0.0002453352168770018,-2.0724211994321436e-07
135.286,0.026814525876412885,-0.00714352983873224,138.823,0.00024361878243273497,-3.6709543088337113e-07
135.286,0.026814525876412885,-0.00714352983873224,138.923,0.00024143497996068238,-6.427670282645664e-07
135.286,0.026814525876412885,-0.00714352983873224,139.023,0.0002388233833706038,-1.0729653015525134e-06
138.986,0.0383117664677782,-0.009387162553044597,139.123,0.00023588131082416107,-1.6874418966450104e-06
138.986,0.0383117664677782,-0.009387162553044597,139.223,0.00023271190445717046,-2.5092672931931016e-06
138.986,0.0383117664677782,-0.009387162553044597,139.323,0.0002294398351381081,-3.537876184699299e-06
138.986,0.0383117664677782,-0.009387162553044597,139.423,0.00022671178647668444,-4.545792751246514e-06
139.386,0.06131479884423272,-0.016367349868403006,139.523,0.00022496908654899005,-5.29217641626213e-06
139.386,0.06131479884423272,-0.016367349868403006,139.623,0.0001921256650778816,-2.1274952992101886e-05
139.386,0.06131479884423272,-0.016367349868403006,139.723,0.00016353618548622026,-3.695744186392892e-05
139.386,0.06131479884423272,-0.016367349868403006,139.823,0.00014080398404548255,-5.101354666155441e-05
139.786,0.06735025517717781,-0.02328660843248504,139.923,0.00011761178192777654,-6.696389977212905e-05
139.786,0.06735025517717781,-0.02328660843248504,140.023,0.00010290981173628088,-7.802541132407742e-05
139.786,0.06735025517717781,-0.02328660843248504,140.123,9.18460562570326e-05,-8.738021066793604e-05
139.786,0.06735025517717781,-0.02328660843248504,140.223,8.834400143642083e-05,-9.076300316860679e-05
140.186,0.07077703262085619,-0.02567353946188736,140.323,9.302536655017457e-05,-8.592027377096142e-05
140.186,0.07077703262085619,-0.02567353946188736,140.423,8.888387133798937e-05,-9.048304181375361e-05
140.186,0.07077703262085619,-0.02567353946188736,140.523,9.080378139678556e-05,-8.822824451141151e-05
140.486,0.058441558883593266,-0.016374230221681857,140.623,9.969093900572698e-05,-7.59040914875527e-05
140.486,0.058441558883593266,-0.016374230221681857,140.723,0.00010135512846092348,-7.326446348168497e-05
140.486,0.058441558883593266,-0.016374230221681857,140.823,0.0001046529173845329,-6.762249711141129e-05
140.486,0.058441558883593266,-0.016374230221681857,140.923,0.00010503990003929844,-6.697745527579476e-05
140.886,0.057222081455285054,-0.019080109568422543,141.023,0.00010497927295815133,-6.716456364470052e-05
140.886,0.057222081455285054,-0.019080109568422543,141.123,0.00010388729342816442,-7.057378625274775e-05
140.886,0.057222081455285054,-0.019080109568422543,141.223,0.00010113889843954946,-7.918457592302094e-05
140.886,0.057222081455285054,-0.019080109568422543,141.323,9.702110499403608e-05,-9.405074579395374e-05
141.286,0.05727913894136028,-0.019915379875655004,141.423,9.340213211843422e-05,-0.00011066163901520242
141.286,0.05727913894136028,-0.019915379875655004,141.523,9.102165620528471e-05,-0.00012412766617969428
141.286,0.05727913894136028,-0.019915379875655004,141.623,9.311240673352448e-05,-0.00010667905925448317
141.686,0.047445686156426144,-0.025502926031990003,141.723,9.438640654564689e-05,-8.859180880852582e-05
141.686,0.047445686156426144,-0.025502926031990003,141.823,9.47054891805974e-05,-7.281821109395547e-05
141.686,0.047445686156426144,-0.025502926031990003,141.923,9.429892331545752e-05,-5.8030386406600244e-05
141.686,0.047445686156426144,-0.025502926031990003,142.023,9.324847803745309e-05,-4.4739211228904864e-05
141.686,0.047445686156426144,-0.025502926031990003,142.123,9.182256855079976e-05,-3.3702844171844187e-05
142.086,0.05726466477808876,-0.030763659607079746,142.223,9.014537805537195e-05,-2.4282310997717978e-05
142.086,0.05726466477808876,-0.030763659607079746,142.323,8.821951373848732e-05,-1.5987801216276333e-05
142.086,0.05726466477808876,-0.030763659607079746,142.423,8.651431729261498e-05,-9.987509325880345e-06
142.486,0.07350334180087906,-0.03305105408447575,142.523,8.502472234302221e-05,-5.55931891429984e-06
142.486,0.07350334180087906,-0.03305105408447575,142.623,8.33774477506653e-05,-1.3979367261576178e-06
142.486,0.07350334180087906,-0.03305105408447575,142.723,8.530016685924146e-05,-5.485561363213941e-06
142.486,0.07350334180087906,-0.03305105408447575,142.823,8.820819874943174e-05,-1.1125532262785947e-05
142.886,0.07806745355750151,-0.0396140053218148,142.923,9.021815329641446e-05,-1.4603281382692383e-05
142.886,0.07806745355750151,-0.0396140053218148,143.023,9.197438565007512e-05,-1.7345917170811274e-05
142.886,0.07806745355750151,-0.0396140053218148,143.123,9.214548151210933e-05,-1.7567714581192148e-05
142.886,0.07806745355750151,-0.0396140053218148,143.223,8.98806775977541e-05,-1.47758275954934e-05
143.286,0.07959884391859141,-0.04100860842852383,143.323,8.709663098169485e-05,-1.1663183605241411e-05
143.286,0.07959884391859141,-0.04100860842852383,143.423,8.116707045666905e-05,-5.5948580197012474e-06
