amcl_Timestamp,amcl_X,amcl_Y,Odom_Timestamp,Odom_X,Odom_Y
135.379,0.024869731269601174,-0.007262499596381073,142.113,0.0006234331730140403,2.1098690286546395e-08
135.379,0.024869731269601174,-0.007262499596381073,142.213,0.0006293476809001852,2.1503808013209443e-08
135.379,0.024869731269601174,-0.007262499596381073,142.313,0.0006141663366228156,9.711781435140164e-11
135.379,0.024869731269601174,-0.007262499596381073,142.413,0.0006127488096617866,8.578382577295119e-11
135.379,0.024869731269601174,-0.007262499596381073,142.513,0.000612185061472891,-8.62627638786926e-09
135.379,0.024869731269601174,-0.007262499596381073,142.613,0.0006115213606990612,-2.9164500872769868e-08
135.379,0.024869731269601174,-0.007262499596381073,142.713,0.000610517187578864,-8.026167846670657e-08
135.379,0.024869731269601174,-0.007262499596381073,142.813,0.0006090794203035974,-1.8914073038604936e-07
135.379,0.024869731269601174,-0.007262499596381073,142.913,0.0006071736247168073,-3.905614890416022e-07
135.379,0.024869731269601174,-0.007262499596381073,143.013,0.0006048108623987231,-7.23519484951826e-07
135.379,0.024869731269601174,-0.007262499596381073,143.113,0.0006020515190740663,-1.2246966476092716e-06
143.079,0.05728412577297016,-0.006819363275262824,143.213,0.0005990209906852691,-1.916043494960678e-06
143.079,0.05728412577297016,-0.006819363275262824,143.313,0.0005957652858651447,-2.830704589724108e-06
143.079,0.05728412577297016,-0.006819363275262824,143.413,0.0005925986536042733,-3.897315275377454e-06
143.079,0.05728412577297016,-0.006819363275262824,143.513,0.0005903646161589954,-4.770401701150992e-06
143.479,0.08639322543858301,-0.018628186552805855,143.613,0.0005767679725840844,-1.1101473462673924e-05
143.479,0.08639322543858301,-0.018628186552805855,143.713,0.0005431995632881213,-2.821334049507671e-05
143.479,0.08639322543858301,-0.018628186552805855,143.813,0.0005178177803827786,-4.288918721932264e-05
143.479,0.08639322543858301,-0.018628186552805855,143.913,0.0004947506130329115,-5.782536927719499e-05
143.879,0.08960601684435661,-0.021266417497431665,144.013,0.0004996193898552587,-5.4184930409799384e-05
143.879,0.08960601684435661,-0.021266417497431665,144.113,0.0004993407965095482,-5.429032258598335e-05
143.879,0.08960601684435661,-0.021266417497431665,144.213,0.0004869837044539246,-6.5199138107909e-05
144.179,0.09000331314063394,-0.02625543834528391,144.313,0.0004827311762330694,-6.911465162816228e-05
144.179,0.09000331314063394,-0.02625543834528391,144.413,0.00048115777053416963,-7.112889462965007e-05
144.179,0.09000331314063394,-0.02625543834528391,144.513,0.0004860295000364132,-6.489574405174439e-05
144.579,0.09161007796252411,-0.015377157456340683,144.613,0.000493291072931257,-5.518227763709936e-05
144.579,0.09161007796252411,-0.015377157456340683,144.713,0.0004998009748164861,-4.582115302727506e-05
144.579,0.09161007796252411,-0.015377157456340683,144.813,0.0004953025998349192,-5.310865215814631e-05
144.579,0.09161007796252411,-0.015377157456340683,144.913,0.000497392761847845,-4.90462715526722e-05
144.979,0.09256022055698611,-0.020060866558576307,145.013,0.0004973657865389047,-4.9443512538987123e-05
144.979,0.09256022055698611,-0.020060866558576307,145.113,0.0004981943075748524,-4.7434930216800134e-05
144.979,0.09256022055698611,-0.020060866558576307,145.213,0.000493702149759194,-6.0109238704963175e-05
144.979,0.09256022055698611,-0.020060866558576307,145.313,0.0004913283742790977,-6.752789777069941e-05
145.379,0.10387337487793333,-0.02736428197784034,145.413,0.0004876396049926606,-8.191061986447767e-05
145.379,0.10387337487793333,-0.02736428197784034,145.513,0.00048690315011105603,-8.605553032751837e-05
145.379,0.10387337487793333,-0.02736428197784034,145.613,0.00048733535889099037,-8.179310420707169e-05
145.379,0.10387337487793333,-0.02736428197784034,145.713,0.000489161186949743,-6.374897795939894e-05
145.779,0.10308381620686942,-0.031204719521470137,145.813,0.000490009690393707,-4.718741431248428e-05
145.779,0.10308381620686942,-0.031204719521470137,145.913,0.0004900331207376373,-3.063702062570604e-05
145.779,0.10308381620686942,-0.031204719521470137,146.013,0.0004893862018193742,-1.7257991947311326e-05
145.779,0.10308381620686942,-0.031204719521470137,146.113,0.0004882178436206527,-5.324595357864407e-06
146.179,0.09779478984890577,-0.03781641841885752,146.213,0.0004865215302258721,6.1070982001548035e-06
146.179,0.09779478984890577,-0.03781641841885752,146.313,0.00048488856887806,1.4246596017227763e-05
146.179,0.09779478984890577,-0.03781641841885752,146.413,0.0004831001393811687,2.1366804263251715e-05
146.179,0.09779478984890577,-0.03781641841885752,146.513,0.00048123341782903674,2.7485818690543898e-05
146.579,0.09458397886019727,-0.03826138569908106,146.613,0.00047995945973084147,3.1000699310763724e-05
146.579,0.09458397886019727,-0.03826138569908106,146.713,0.00047924753935208933,3.280628897531809e-05
146.579,0.09458397886019727,-0.03826138569908106,146.813,0.0004822002979704742,2.663168458657595e-05
146.579,0.09458397886019727,-0.03826138569908106,146.913,0.00048506093664102607,2.1317221811055444e-05
146.979,0.08917998509885856,-0.04576108671718415,147.013,0.0004872112939203905,1.7786377872904305e-05
146.979,0.08917998509885856,-0.04576108671718415,147.113,0.0004873851030638049,1.7498579575872495e-05
146.979,0.08917998509885856,-0.04576108671718415,147.213,0.00048745942742568093,1.736793929330472e-05
146.979,0.08917998509885856,-0.04576108671718415,147.313,0.00048501790786374655,2.030883244151554e-05
147.379,0.09369424437199986,-0.04849859632435271,147.413,0.0004798048142232286,2.5930529210656933e-05
147.379,0.09369424437199986,-0.04849859632435271,147.513,0.0004734748819463141,3.212264881616252e-05
147.379,0.09369424437199986,-0.04849859632435271,147.613,0.00046331626210362317,4.116826678478646e-05
