Timestamp,CPU Usage (%),RAM Usage (%)
2025-03-15 15:06:17.663,15.3,21.3
2025-03-15 15:06:17.763,31.9,21.3
2025-03-15 15:06:17.863,12.1,21.3
2025-03-15 15:06:17.963,12.3,21.3
2025-03-15 15:06:18.064,15.2,21.3
2025-03-15 15:06:18.164,27.7,21.3
2025-03-15 15:06:18.264,36.3,21.3
2025-03-15 15:06:18.364,25.8,21.3
2025-03-15 15:06:18.464,13.2,21.3
2025-03-15 15:06:18.564,5.2,21.3
2025-03-15 15:06:18.664,16.4,21.3
2025-03-15 15:06:18.765,14.4,21.2
2025-03-15 15:06:18.865,29.3,21.2
2025-03-15 15:06:18.965,21.5,21.2
2025-03-15 15:06:19.065,16.4,21.2
2025-03-15 15:06:19.165,7.4,21.2
2025-03-15 15:06:19.265,8.5,21.2
2025-03-15 15:06:19.365,5.8,21.2
2025-03-15 15:06:19.466,15.0,21.2
2025-03-15 15:06:19.566,24.9,21.2
2025-03-15 15:06:19.666,20.0,21.2
2025-03-15 15:06:19.766,10.5,21.2
2025-03-15 15:06:19.866,10.3,21.2
2025-03-15 15:06:19.967,8.5,21.2
2025-03-15 15:06:20.067,11.8,21.2
2025-03-15 15:06:20.167,19.6,21.2
2025-03-15 15:06:20.267,27.1,21.2
2025-03-15 15:06:20.367,10.5,21.2
2025-03-15 15:06:20.467,12.3,21.3
2025-03-15 15:06:20.567,11.0,21.3
2025-03-15 15:06:20.668,12.9,21.3
2025-03-15 15:06:20.768,22.2,21.3
2025-03-15 15:06:20.868,27.4,21.3
2025-03-15 15:06:20.968,27.4,21.3
2025-03-15 15:06:21.068,24.0,21.3
2025-03-15 15:06:21.168,5.8,21.3
2025-03-15 15:06:21.268,10.4,21.3
2025-03-15 15:06:21.369,20.1,21.3
2025-03-15 15:06:21.469,33.3,21.3
2025-03-15 15:06:21.569,30.6,21.3
2025-03-15 15:06:21.669,15.6,21.3
2025-03-15 15:06:21.769,7.9,21.3
2025-03-15 15:06:21.869,7.7,21.3
2025-03-15 15:06:21.970,6.6,21.3
2025-03-15 15:06:22.070,17.4,21.3
2025-03-15 15:06:22.170,31.6,21.2
2025-03-15 15:06:22.270,21.0,21.2
2025-03-15 15:06:22.370,8.6,21.2
2025-03-15 15:06:22.470,7.1,21.2
2025-03-15 15:06:22.570,9.0,21.2
2025-03-15 15:06:22.671,16.2,21.2
2025-03-15 15:06:22.771,32.4,21.2
2025-03-15 15:06:22.871,22.3,21.2
2025-03-15 15:06:22.971,10.6,21.2
2025-03-15 15:06:23.071,12.3,21.2
2025-03-15 15:06:23.172,12.8,21.2
2025-03-15 15:06:23.272,11.5,21.2
2025-03-15 15:06:23.372,18.5,21.2
2025-03-15 15:06:23.472,24.1,21.2
2025-03-15 15:06:23.572,18.1,21.2
2025-03-15 15:06:23.672,20.7,21.2
2025-03-15 15:06:23.772,7.2,21.2
2025-03-15 15:06:23.872,7.2,21.2
2025-03-15 15:06:23.973,5.7,21.2
2025-03-15 15:06:24.073,7.1,21.2
2025-03-15 15:06:24.173,21.8,21.2
2025-03-15 15:06:24.273,27.0,21.2
2025-03-15 15:06:24.373,9.1,21.2
2025-03-15 15:06:24.473,5.1,21.2
2025-03-15 15:06:24.573,7.0,21.3
2025-03-15 15:06:24.674,13.4,21.2
2025-03-15 15:06:24.774,25.1,21.3
2025-03-15 15:06:24.874,29.3,21.3
2025-03-15 15:06:24.974,11.8,21.3
2025-03-15 15:06:25.074,9.3,21.2
2025-03-15 15:06:25.174,14.6,21.2
2025-03-15 15:06:25.275,16.3,21.2
2025-03-15 15:06:25.375,24.4,21.2
2025-03-15 15:06:25.475,27.9,21.2
2025-03-15 15:06:25.575,22.2,21.2
2025-03-15 15:06:25.675,18.8,21.2
2025-03-15 15:06:25.775,11.4,21.2
2025-03-15 15:06:25.875,15.6,21.2
2025-03-15 15:06:25.976,29.7,21.2
2025-03-15 15:06:26.076,26.3,21.2
2025-03-15 15:06:26.176,11.7,21.2
2025-03-15 15:06:26.276,7.2,21.2
2025-03-15 15:06:26.376,5.1,21.2
2025-03-15 15:06:26.476,8.5,21.2
2025-03-15 15:06:26.576,25.9,21.2
2025-03-15 15:06:26.676,25.0,21.2
2025-03-15 15:06:26.777,10.5,21.2
2025-03-15 15:06:26.877,6.6,21.2
2025-03-15 15:06:26.977,8.5,21.2
2025-03-15 15:06:27.077,9.8,21.2
2025-03-15 15:06:27.177,20.3,21.2
2025-03-15 15:06:27.277,24.9,21.2
2025-03-15 15:06:27.377,25.3,21.2
2025-03-15 15:06:27.478,11.7,21.2
2025-03-15 15:06:27.578,8.4,21.2
2025-03-15 15:06:27.678,14.0,21.2
2025-03-15 15:06:27.778,13.3,21.2
2025-03-15 15:06:27.878,20.4,21.2
2025-03-15 15:06:27.978,27.4,21.2
2025-03-15 15:06:28.078,24.0,21.2
2025-03-15 15:06:28.178,9.1,21.2
2025-03-15 15:06:28.279,11.0,21.2
2025-03-15 15:06:28.379,9.1,21.2
2025-03-15 15:06:28.479,20.4,21.2
2025-03-15 15:06:28.579,24.0,21.2
2025-03-15 15:06:28.679,23.7,21.2
2025-03-15 15:06:28.779,6.5,21.2
2025-03-15 15:06:28.879,7.8,21.2
2025-03-15 15:06:28.979,7.2,21.2
2025-03-15 15:06:29.079,8.3,21.2
2025-03-15 15:06:29.180,20.4,21.2
2025-03-15 15:06:29.280,25.0,21.2
2025-03-15 15:06:29.380,12.9,21.2
2025-03-15 15:06:29.480,6.6,21.2
2025-03-15 15:06:29.580,12.4,21.2
2025-03-15 15:06:29.680,22.0,21.2
2025-03-15 15:06:29.780,31.4,21.2
2025-03-15 15:06:29.881,18.0,21.2
2025-03-15 15:06:29.981,29.3,21.2
2025-03-15 15:06:30.081,10.9,21.2
2025-03-15 15:06:30.181,9.1,21.2
2025-03-15 15:06:30.282,14.1,21.2
2025-03-15 15:06:30.382,20.9,21.2
2025-03-15 15:06:30.482,33.3,21.2
2025-03-15 15:06:30.582,25.7,21.2
2025-03-15 15:06:30.682,20.0,21.2
