amcl_time,amcl_X,amcl_Y,Odom_time,Odom_X,Odom_Y,Distance
503.182,0.0008784625246238025,0.0019449086210408422,505.479,0.00022422880234756435,3.2373803436237998e-09,0.002051993838868678
503.182,0.0008784625246238025,0.0019449086210408422,505.579,0.00023344111135014742,3.4753644169782614e-09,0.0020490750716506655
503.182,0.0008784625246238025,0.0019449086210408422,505.679,0.0008608720070464539,-1.2808941900784177e-07,0.001945116251370368
503.182,0.0008784625246238025,0.0019449086210408422,505.779,0.003429163159319035,-5.245143392619449e-06,0.0032107901570748378
503.182,0.0008784625246238025,0.0019449086210408422,505.879,0.00801501430010667,-2.521669971849543e-05,0.007403496810537892
503.182,0.0008784625246238025,0.0019449086210408422,505.979,0.01461177239855491,-5.799991425623085e-05,0.013878596567887529
503.182,0.0008784625246238025,0.0019449086210408422,506.079,0.023194957408196774,-0.00011294963499216084,0.02241117409888339
503.182,0.0008784625246238025,0.0019449086210408422,506.179,0.03377788902838678,-0.00020474441358290168,0.03296958101714016
503.182,0.0008784625246238025,0.0019449086210408422,506.279,0.04635938314557971,-0.00032369775959244674,0.04553746496501472
503.182,0.0008784625246238025,0.0019449086210408422,506.379,0.06093716263960869,-0.0004831685958726442,0.06010776171571339
503.182,0.0008784625246238025,0.0019449086210408422,506.479,0.07751092942168018,-0.0006988048996056073,0.07667805555638257
503.182,0.0008784625246238025,0.0019449086210408422,506.579,0.09607783110955029,-0.0009553812094495735,0.09524353762890968
503.182,0.0008784625246238025,0.0019449086210408422,506.679,0.1166383890361051,-0.0012784867301035914,0.11580479637533728
503.182,0.0008784625246238025,0.0019449086210408422,506.779,0.1391921305215208,-0.0016728036296906462,0.13836097208636886
503.182,0.0008784625246238025,0.0019449086210408422,506.879,0.16374522390814397,-0.0021253854508407424,0.16291761493892576
506.882,0.1641100882328173,-0.008319398947567683,506.979,0.1902949568629903,-0.002671266107688141,0.026787100435775868
506.882,0.1641100882328173,-0.008319398947567683,507.079,0.21884017581317305,-0.0032906216994724362,0.05496063215761233
506.882,0.1641100882328173,-0.008319398947567683,507.179,0.24938429473563672,-0.004003237639104522,0.08538336807087293
506.882,0.1641100882328173,-0.008319398947567683,507.279,0.28192265201115363,-0.004816635542378207,0.11786462376598544
506.882,0.1641100882328173,-0.008319398947567683,507.379,0.31645982344169027,-0.005723399926689108,0.15237185117051674
507.382,0.32288093837562587,-0.013286484403590494,507.479,0.35299145427722595,-0.006750338775067064,0.030811756969341703
507.382,0.32288093837562587,-0.013286484403590494,507.579,0.3915206387813318,-0.00788004329713427,0.06885229173544369
507.382,0.32288093837562587,-0.013286484403590494,507.679,0.43204486977168527,-0.009141726855050058,0.10924258754249529
507.382,0.32288093837562587,-0.013286484403590494,507.779,0.4745603493475302,-0.010505294234897556,0.15170490674839193
507.782,0.47607439746206126,-0.023521150586220237,507.879,0.5190743827331874,-0.011920207203531395,0.04453740698205742
507.782,0.47607439746206126,-0.023521150586220237,507.979,0.5655845958211912,-0.013399239358038809,0.09008067882294173
507.782,0.47607439746206126,-0.023521150586220237,508.079,0.614090782582349,-0.014957448692273303,0.1382818120788123
507.782,0.47607439746206126,-0.023521150586220237,508.179,0.6639906864465066,-0.016542952586633932,0.18804581067656628
508.182,0.6682076990439461,-0.030534648809218502,508.279,0.7139310485484062,-0.0181502755574627,0.04737084958860055
508.182,0.6682076990439461,-0.030534648809218502,508.379,0.7638608237512108,-0.019744714167923314,0.0962597681060315
508.182,0.6682076990439461,-0.030534648809218502,508.479,0.813790593482515,-0.02134979697069832,0.1458723436995755
508.182,0.6682076990439461,-0.030534648809218502,508.579,0.8637195059105579,-0.02295036507058817,0.19565885613504794
508.582,0.8538109693628165,-0.03711315329922199,508.679,0.9136485230390465,-0.024556742214452396,0.06114079071524535
508.582,0.8538109693628165,-0.03711315329922199,508.779,0.9635762801991328,-0.026161156395032362,0.11031033360108428
508.582,0.8538109693628165,-0.03711315329922199,508.879,1.013503712975181,-0.027771499711039663,0.1599657427520216
508.582,0.8538109693628165,-0.03711315329922199,508.979,1.0634303771067912,-0.02937674422350918,0.2097621227207655
508.982,1.057077159189499,-0.04143599200399822,509.079,1.113357695500587,-0.030990074764478532,0.05724173262959988
508.982,1.057077159189499,-0.04143599200399822,509.179,1.163295641310424,-0.03258306963510498,0.10658677299995031
508.982,1.057077159189499,-0.04143599200399822,509.279,1.2132271839809954,-0.03409271856445177,0.15632259563861167
508.982,1.057077159189499,-0.04143599200399822,509.379,1.2631595212681486,-0.03555197238240384,0.20616634460266045
509.382,1.2664628737136157,-0.04606871582468714,509.479,1.313092694162569,-0.03698500580513098,0.047506356867486735
509.382,1.2664628737136157,-0.04606871582468714,509.579,1.3630276974779096,-0.03834383574453028,0.09687331397697696
509.382,1.2664628737136157,-0.04606871582468714,509.679,1.4129635809162664,-0.03967887248514816,0.14663999218760432
509.382,1.2664628737136157,-0.04606871582468714,509.779,1.4629008480188563,-0.04095355496483001,0.19650456132051647
509.782,1.4790946111566154,-0.04958984401475022,509.879,1.5128392368050134,-0.042185844904549324,0.03454734379043307
509.782,1.4790946111566154,-0.04958984401475022,509.979,1.5627786814500295,-0.04337381849008521,0.08391461490227048
509.782,1.4790946111566154,-0.04958984401475022,510.079,1.6127193067500925,-0.044508508431174675,0.13372127446207765
509.782,1.4790946111566154,-0.04958984401475022,510.179,1.6626608782063803,-0.045603189113629414,0.18360955262699763
510.182,1.6868631539241408,-0.05222663854590144,510.279,1.7126035038368292,-0.0466438551073658,0.02633881327146744
