amcl_time,amcl_X,amcl_Y,Odom_time,Odom_X,Odom_Y,Distance
454.973,0.04236638572534656,0.0017556875875169558,459.005,0.0031537930568320788,4.853999422716257e-07,0.039251855478513405
454.973,0.04236638572534656,0.0017556875875169558,459.105,0.0031630053164602313,4.882361207439888e-07,0.03924265230902461
454.973,0.04236638572534656,0.0017556875875169558,459.205,0.0037584708939260116,8.09764466097893e-07,0.038647777216860205
454.973,0.04236638572534656,0.0017556875875169558,459.305,0.00628898376511419,7.920150427651076e-06,0.03611971239107986
454.973,0.04236638572534656,0.0017556875875169558,459.405,0.010835048601775064,5.064551774203261e-05,0.03157740314307084
454.973,0.04236638572534656,0.0017556875875169558,459.505,0.017376221535404364,0.00018781418280931796,0.025039299775621898
454.973,0.04236638572534656,0.0017556875875169558,459.605,0.025922514649984286,0.0005084228981748765,0.016491105637537334
454.973,0.04236638572534656,0.0017556875875169558,459.705,0.03645734627650539,0.001131206838066724,0.005941946096557515
454.973,0.04236638572534656,0.0017556875875169558,459.805,0.0489645219719668,0.002204500399301951,0.006613383012421571
454.973,0.04236638572534656,0.0017556875875169558,459.905,0.06341800508178372,0.0039057391574339657,0.021161129442485396
459.973,0.11925908080573262,0.008589267625550819,460.005,0.07977339521390472,0.006439936656274075,0.03954413977155373
459.973,0.11925908080573262,0.008589267625550819,460.105,0.0979700423707443,0.010039121180912564,0.02133835122071068
459.973,0.11925908080573262,0.008589267625550819,460.205,0.11792065121667054,0.014957326449046276,0.006507193476789762
459.973,0.11925908080573262,0.008589267625550819,460.305,0.13951046284681923,0.02142262828427068,0.023975271017672016
460.373,0.19287067328750213,0.027445473481909222,460.405,0.16265496430622192,0.029571792764304747,0.030290432531281296
460.373,0.19287067328750213,0.027445473481909222,460.505,0.18728777625575022,0.03945280259464319,0.013241778267613946
460.373,0.19287067328750213,0.027445473481909222,460.605,0.21334619922065318,0.051096953640782046,0.03128321716103854
460.373,0.19287067328750213,0.027445473481909222,460.705,0.24076902365796413,0.0645480035115042,0.06058753752058698
460.373,0.19287067328750213,0.027445473481909222,460.805,0.2695135913650856,0.07981385106557636,0.09282555608340144
460.873,0.323041491001452,0.09033440501993945,460.905,0.2995716746639868,0.09684239776337314,0.02435541517738784
460.873,0.323041491001452,0.09033440501993945,461.005,0.3309643440469644,0.11555995750692172,0.026440501104447362
460.873,0.323041491001452,0.09033440501993945,461.105,0.3637214519638035,0.1358724774599933,0.06106206076979416
460.873,0.323041491001452,0.09033440501993945,461.205,0.39673285515817575,0.15703720144714958,0.09939658043659604
460.873,0.323041491001452,0.09033440501993945,461.305,0.427802765922129,0.17772385153246978,0.13642521792092568
461.373,0.4967116259159765,0.1744852291650597,461.405,0.4578833648250189,0.1987308139517747,0.045776437618029624
461.373,0.4967116259159765,0.1744852291650597,461.505,0.4889434556816074,0.22163588006382953,0.04778627783127497
461.373,0.4967116259159765,0.1744852291650597,461.605,0.5209848833593859,0.24655128220768652,0.07604411238259494
461.373,0.4967116259159765,0.1744852291650597,461.705,0.5539408613075554,0.2735269556527936,0.11438727625560387
461.373,0.4967116259159765,0.1744852291650597,461.805,0.5876330921675791,0.30273215922439645,0.15720683221471551
461.873,0.6607959239890822,0.29488597442940084,461.905,0.6218867778427736,0.3343094942294982,0.05539075344552976
461.873,0.6607959239890822,0.29488597442940084,462.005,0.656662015408562,0.36824373526653026,0.07347414698511019
461.873,0.6607959239890822,0.29488597442940084,462.105,0.6915864458045649,0.4039648890089315,0.11334136861498657
461.873,0.6607959239890822,0.29488597442940084,462.205,0.7258646699101339,0.4403485971724307,0.15935280452825237
461.873,0.6607959239890822,0.29488597442940084,462.305,0.7596448090538378,0.4771815030661305,0.20737107281269967
462.373,0.8240268423614339,0.4563284167505142,462.405,0.7931020027226592,0.5142714828038042,0.06567910330036376
462.373,0.8240268423614339,0.4563284167505142,462.505,0.8264442946618918,0.5514698419839366,0.0951721328492321
462.373,0.8240268423614339,0.4563284167505142,462.605,0.8598356916969621,0.5886345715380704,0.13706637912122482
462.373,0.8240268423614339,0.4563284167505142,462.705,0.8934304645323766,0.6256124703725529,0.18295888494729146
462.373,0.8240268423614339,0.4563284167505142,462.805,0.9274039699229952,0.6622357376045732,0.2304010748329437
462.873,0.9930149328920479,0.6282222761720878,462.905,0.9618563106779243,0.6983933150314923,0.07677782513779956
462.873,0.9930149328920479,0.6282222761720878,463.005,0.996900129145555,0.73399307908868,0.10584213480249177
462.873,0.9930149328920479,0.6282222761720878,463.105,1.0326759696647894,0.7688323366336972,0.14609649872911465
462.873,0.9930149328920479,0.6282222761720878,463.205,1.06935870615849,0.8027416649015309,0.19048724041010298
462.873,0.9930149328920479,0.6282222761720878,463.305,1.1069670258034736,0.835582349625766,0.2366078602701293
463.373,1.158855786813915,0.7895080603197869,463.405,1.1454189501377816,0.8674386580021611,0.07908050730106095
463.373,1.158855786813915,0.7895080603197869,463.505,1.1845403745420489,0.8984803179126206,0.11195825548677997
463.373,1.158855786813915,0.7895080603197869,463.605,1.2242240693265685,0.9288033560176653,0.15387069819238955
463.373,1.158855786813915,0.7895080603197869,463.705,1.2643816138469204,0.9584993223368479,0.19923289590105017
463.773,1.333784229347502,0.9029134321646647,463.805,1.304944874092938,0.9876407839365952,0.08950101982538189
463.773,1.333784229347502,0.9029134321646647,463.905,1.345975147593776,1.016121613040382,0.11386268354854667
463.773,1.333784229347502,0.9029134321646647,464.005,1.3875961529348926,1.0437327793250943,0.1507508263820294
